method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
subsample,6,16,True,hard,9045,ID3,0.01,0,0.5037037037037037
subsample,6,16,True,hard,9045,ID3,0.01,1,0.5033720287451631
subsample,6,16,True,hard,9045,ID3,0.01,2,0.4609176340519624
subsample,6,16,True,hard,9045,ID3,0.01,3,0.5004975124378109
subsample,6,16,True,hard,9045,ID3,0.01,4,0.5345494748479823
subsample,6,16,True,hard,9045,ID3,0.05,0,0.5293532338308458
subsample,6,16,True,hard,9045,ID3,0.05,1,0.5188501934770592
subsample,6,16,True,hard,9045,ID3,0.05,2,0.5369817578772803
subsample,6,16,True,hard,9045,ID3,0.05,3,0.5007186290768381
subsample,6,16,True,hard,9045,ID3,0.05,4,0.527363184079602
subsample,6,16,True,hard,9045,ID3,0.1,0,0.4922056384742952
subsample,6,16,True,hard,9045,ID3,0.1,1,0.5033720287451631
subsample,6,16,True,hard,9045,ID3,0.1,2,0.5002763957987839
subsample,6,16,True,hard,9045,ID3,0.1,3,0.5594250967385296
subsample,6,16,True,hard,9045,ID3,0.1,4,0.5213930348258706
subsample,6,16,True,hard,9045,ID3,0.5,0,0.6446655610834715
subsample,6,16,True,hard,9045,ID3,0.5,1,0.6199004975124378
subsample,6,16,True,hard,9045,ID3,0.5,2,0.6002211166390271
subsample,6,16,True,hard,9045,ID3,0.5,3,0.6267551133222775
subsample,6,16,True,hard,9045,ID3,0.5,4,0.6539524599226092
subsample,6,16,True,hard,9045,ID3,1.0,0,0.6800442233278055
subsample,6,16,True,hard,9045,ID3,1.0,1,0.7199557766721946
subsample,6,16,True,hard,9045,ID3,1.0,2,0.6997236042012162
subsample,6,16,True,hard,9045,ID3,1.0,3,0.7114427860696517
subsample,6,16,True,hard,9045,ID3,1.0,4,0.719624101713654
subsample,6,16,False,hard,9045,ID3,0.01,0,0.5007186290768381
subsample,6,16,False,hard,9045,ID3,0.01,1,0.5013819789939193
subsample,6,16,False,hard,9045,ID3,0.01,2,0.4988391376451078
subsample,6,16,False,hard,9045,ID3,0.01,3,0.49894969596462135
subsample,6,16,False,hard,9045,ID3,0.01,4,0.5019347705914871
subsample,6,16,False,hard,9045,ID3,0.05,0,0.4960751796572692
subsample,6,16,False,hard,9045,ID3,0.05,1,0.5003869541182974
subsample,6,16,False,hard,9045,ID3,0.05,2,0.5054726368159204
subsample,6,16,False,hard,9045,ID3,0.05,3,0.5027086788280818
subsample,6,16,False,hard,9045,ID3,0.05,4,0.5033720287451631
subsample,6,16,False,hard,9045,ID3,0.1,0,0.5000552791597568
subsample,6,16,False,hard,9045,ID3,0.1,1,0.5035931453841902
subsample,6,16,False,hard,9045,ID3,0.1,2,0.49331122166943064
subsample,6,16,False,hard,9045,ID3,0.1,3,0.49718076285240465
subsample,6,16,False,hard,9045,ID3,0.1,4,0.5006080707573245
subsample,6,16,False,hard,9045,ID3,0.5,0,0.5041459369817579
subsample,6,16,False,hard,9045,ID3,0.5,1,0.4950801547816473
subsample,6,16,False,hard,9045,ID3,0.5,2,0.49972360420121614
subsample,6,16,False,hard,9045,ID3,0.5,3,0.494195688225539
