method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
optimize,2,128,True,hard,125,ID3,0.4,0,0.48
optimize,2,128,True,hard,125,ID3,0.4,1,0.616
optimize,2,128,True,hard,125,ID3,0.4,2,0.464
optimize,2,128,True,hard,125,ID3,0.4,3,0.584
optimize,2,128,True,hard,125,ID3,0.4,4,0.504
optimize,2,128,True,hard,125,ID3,0.6,0,0.584
optimize,2,128,True,hard,125,ID3,0.6,1,0.552
optimize,2,128,True,hard,125,ID3,0.6,2,0.544
optimize,2,128,True,hard,125,ID3,0.6,3,0.72
optimize,2,128,True,hard,125,ID3,0.6,4,0.576
optimize,2,128,True,hard,125,ID3,0.8,0,0.728
optimize,2,128,True,hard,125,ID3,0.8,1,0.624
optimize,2,128,True,hard,125,ID3,0.8,2,0.696
optimize,2,128,True,hard,125,ID3,0.8,3,0.704
optimize,2,128,True,hard,125,ID3,0.8,4,0.712
optimize,2,128,True,hard,125,ID3,1.0,0,0.696
optimize,2,128,True,hard,125,ID3,1.0,1,0.784
optimize,2,128,True,hard,125,ID3,1.0,2,0.6
optimize,2,128,True,hard,125,ID3,1.0,3,0.752
optimize,2,128,True,hard,125,ID3,1.0,4,0.704
optimize,2,128,True,hard,125,ID3,2.0,0,0.776
optimize,2,128,True,hard,125,ID3,2.0,1,0.792
optimize,2,128,True,hard,125,ID3,2.0,2,0.824
optimize,2,128,True,hard,125,ID3,2.0,3,0.808
optimize,2,128,True,hard,125,ID3,2.0,4,0.784
disjoint,2,128,False,hard,125,ID3,0.4,0,0.48
disjoint,2,128,False,hard,125,ID3,0.4,1,0.376
disjoint,2,128,False,hard,125,ID3,0.4,2,0.32
disjoint,2,128,False,hard,125,ID3,0.4,3,0.344
disjoint,2,128,False,hard,125,ID3,0.4,4,0.384
disjoint,2,128,False,hard,125,ID3,0.6,0,0.392
disjoint,2,128,False,hard,125,ID3,0.6,1,0.464
disjoint,2,128,False,hard,125,ID3,0.6,2,0.336
disjoint,2,128,False,hard,125,ID3,0.6,3,0.432
disjoint,2,128,False,hard,125,ID3,0.6,4,0.472
disjoint,2,128,False,hard,125,ID3,0.8,0,0.376
disjoint,2,128,False,hard,125,ID3,0.8,1,0.408
disjoint,2,128,False,hard,125,ID3,0.8,2,0.488
disjoint,2,128,False,hard,125,ID3,0.8,3,0.544
disjoint,2,128,False,hard,125,ID3,0.8,4,0.352
disjoint,2,128,False,hard,125,ID3,1.0,0,0.504
disjoint,2,128,False,hard,125,ID3,1.0,1,0.448
disjoint,2,128,False,hard,125,ID3,1.0,2,0.384
disjoint,2,128,False,hard,125,ID3,1.0,3,0.464
disjoint,2,128,False,hard,125,ID3,1.0,4,0.456
disjoint,2,128,False,hard,125,ID3,2.0,0,0.584
disjoint,2,128,False,hard,125,ID3,2.0,1,0.584
disjoint,2,128,False,hard,125,ID3,2.0,2,0.552
disjoint,2,128,False,hard,125,ID3,2.0,3,0.528
disjoint,2,128,False,hard,125,ID3,2.0,4,0.512
original,2,128,False,hard,125,ID3,0.4,0,0.384
original,2,128,False,hard,125,ID3,0.4,1,0.328
