method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
subsample,2,1,True,hard,346,ID3,0.4,0,0.29190751445086704
subsample,2,1,True,hard,346,ID3,0.4,1,0.22832369942196531
subsample,2,1,True,hard,346,ID3,0.4,2,0.45375722543352603
subsample,2,1,True,hard,346,ID3,0.4,3,0.33815028901734107
subsample,2,1,True,hard,346,ID3,0.4,4,0.3468208092485549
subsample,2,1,True,hard,346,ID3,0.6,0,0.2023121387283237
subsample,2,1,True,hard,346,ID3,0.6,1,0.3092485549132948
subsample,2,1,True,hard,346,ID3,0.6,2,0.3352601156069364
subsample,2,1,True,hard,346,ID3,0.6,3,0.17341040462427745
subsample,2,1,True,hard,346,ID3,0.6,4,0.24277456647398843
subsample,2,1,True,hard,346,ID3,0.8,0,0.29190751445086704
subsample,2,1,True,hard,346,ID3,0.8,1,0.17341040462427745
subsample,2,1,True,hard,346,ID3,0.8,2,0.28901734104046245
subsample,2,1,True,hard,346,ID3,0.8,3,0.3092485549132948
subsample,2,1,True,hard,346,ID3,0.8,4,0.3265895953757225
subsample,2,1,True,hard,346,ID3,1.0,0,0.3265895953757225
subsample,2,1,True,hard,346,ID3,1.0,1,0.2745664739884393
subsample,2,1,True,hard,346,ID3,1.0,2,0.3583815028901734
subsample,2,1,True,hard,346,ID3,1.0,3,0.3265895953757225
subsample,2,1,True,hard,346,ID3,1.0,4,0.12138728323699421
subsample,2,1,True,hard,346,ID3,2.0,0,0.6820809248554913
subsample,2,1,True,hard,346,ID3,2.0,1,0.2832369942196532
subsample,2,1,True,hard,346,ID3,2.0,2,0.3901734104046243
subsample,2,1,True,hard,346,ID3,2.0,3,0.5404624277456648
subsample,2,1,True,hard,346,ID3,2.0,4,0.407514450867052
subsample,2,1,False,hard,346,ID3,0.4,0,0.2398843930635838
subsample,2,1,False,hard,346,ID3,0.4,1,0.24855491329479767
subsample,2,1,False,hard,346,ID3,0.4,2,0.23121387283236994
subsample,2,1,False,hard,346,ID3,0.4,3,0.22832369942196531
subsample,2,1,False,hard,346,ID3,0.4,4,0.2658959537572254
subsample,2,1,False,hard,346,ID3,0.6,0,0.22832369942196531
subsample,2,1,False,hard,346,ID3,0.6,1,0.2630057803468208
subsample,2,1,False,hard,346,ID3,0.6,2,0.24277456647398843
subsample,2,1,False,hard,346,ID3,0.6,3,0.1994219653179191
subsample,2,1,False,hard,346,ID3,0.6,4,0.26878612716763006
subsample,2,1,False,hard,346,ID3,0.8,0,0.26878612716763006
subsample,2,1,False,hard,346,ID3,0.8,1,0.2658959537572254
subsample,2,1,False,hard,346,ID3,0.8,2,0.24566473988439305
subsample,2,1,False,hard,346,ID3,0.8,3,0.23121387283236994
subsample,2,1,False,hard,346,ID3,0.8,4,0.2658959537572254
subsample,2,1,False,hard,346,ID3,1.0,0,0.26011560693641617
subsample,2,1,False,hard,346,ID3,1.0,1,0.2947976878612717
subsample,2,1,False,hard,346,ID3,1.0,2,0.25722543352601157
subsample,2,1,False,hard,346,ID3,1.0,3,0.2745664739884393
subsample,2,1,False,hard,346,ID3,1.0,4,0.2774566473988439
subsample,2,1,False,hard,346,ID3,2.0,0,0.21098265895953758
subsample,2,1,False,hard,346,ID3,2.0,1,0.21676300578034682
subsample,2,1,False,hard,346,ID3,2.0,2,0.26878612716763006
subsample,2,1,False,hard,346,ID3,2.0,3,0.2745664739884393
subsample,2,1,False,hard,346,ID3,2.0,4,0.2138728323699422
subsample,2,1,True,weight,346,ID3,0.4,0,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.4,1,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.4,2,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.4,3,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.4,4,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.6,0,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.6,1,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.6,2,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.6,3,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.6,4,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.8,0,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.8,1,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.8,2,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.8,3,0.7167630057803468
subsample,2,1,True,weight,346,ID3,0.8,4,0.7167630057803468
subsample,2,1,True,weight,346,ID3,1.0,0,0.7167630057803468
subsample,2,1,True,weight,346,ID3,1.0,1,0.7167630057803468
subsample,2,1,True,weight,346,ID3,1.0,2,0.7167630057803468
subsample,2,1,True,weight,346,ID3,1.0,3,0.7167630057803468
subsample,2,1,True,weight,346,ID3,1.0,4,0.7167630057803468
subsample,2,1,True,weight,346,ID3,2.0,0,0.7167630057803468
subsample,2,1,True,weight,346,ID3,2.0,1,0.7167630057803468
subsample,2,1,True,weight,346,ID3,2.0,2,0.7167630057803468
subsample,2,1,True,weight,346,ID3,2.0,3,0.7167630057803468
subsample,2,1,True,weight,346,ID3,2.0,4,0.7167630057803468
subsample,2,1,False,weight,346,ID3,0.4,0,0.28034682080924855
subsample,2,1,False,weight,346,ID3,0.4,1,0.26878612716763006
subsample,2,1,False,weight,346,ID3,0.4,2,0.30346820809248554
subsample,2,1,False,weight,346,ID3,0.4,3,0.2745664739884393
subsample,2,1,False,weight,346,ID3,0.4,4,0.22832369942196531
subsample,2,1,False,weight,346,ID3,0.6,0,0.2832369942196532
subsample,2,1,False,weight,346,ID3,0.6,1,0.3236994219653179
subsample,2,1,False,weight,346,ID3,0.6,2,0.2658959537572254
subsample,2,1,False,weight,346,ID3,0.6,3,0.27167630057803466
subsample,2,1,False,weight,346,ID3,0.6,4,0.26011560693641617
subsample,2,1,False,weight,346,ID3,0.8,0,0.3092485549132948
subsample,2,1,False,weight,346,ID3,0.8,1,0.2976878612716763
subsample,2,1,False,weight,346,ID3,0.8,2,0.2745664739884393
subsample,2,1,False,weight,346,ID3,0.8,3,0.26011560693641617
subsample,2,1,False,weight,346,ID3,0.8,4,0.3063583815028902
subsample,2,1,False,weight,346,ID3,1.0,0,0.2398843930635838
subsample,2,1,False,weight,346,ID3,1.0,1,0.28901734104046245
subsample,2,1,False,weight,346,ID3,1.0,2,0.2832369942196532
subsample,2,1,False,weight,346,ID3,1.0,3,0.3092485549132948
subsample,2,1,False,weight,346,ID3,1.0,4,0.28901734104046245
subsample,2,1,False,weight,346,ID3,2.0,0,0.3699421965317919
subsample,2,1,False,weight,346,ID3,2.0,1,0.3670520231213873
subsample,2,1,False,weight,346,ID3,2.0,2,0.3468208092485549
subsample,2,1,False,weight,346,ID3,2.0,3,0.2976878612716763
subsample,2,1,False,weight,346,ID3,2.0,4,0.3699421965317919
subsample,2,4,True,hard,346,ID3,0.4,0,0.2514450867052023
subsample,2,4,True,hard,346,ID3,0.4,1,0.3092485549132948
subsample,2,4,True,hard,346,ID3,0.4,2,0.18497109826589594
subsample,2,4,True,hard,346,ID3,0.4,3,0.3352601156069364
subsample,2,4,True,hard,346,ID3,0.4,4,0.3236994219653179
subsample,2,4,True,hard,346,ID3,0.6,0,0.3554913294797688
subsample,2,4,True,hard,346,ID3,0.6,1,0.2254335260115607
subsample,2,4,True,hard,346,ID3,0.6,2,0.3815028901734104
subsample,2,4,True,hard,346,ID3,0.6,3,0.23121387283236994
subsample,2,4,True,hard,346,ID3,0.6,4,0.41040462427745666
subsample,2,4,True,hard,346,ID3,0.8,0,0.28901734104046245
subsample,2,4,True,hard,346,ID3,0.8,1,0.32947976878612717
subsample,2,4,True,hard,346,ID3,0.8,2,0.3208092485549133
subsample,2,4,True,hard,346,ID3,0.8,3,0.37572254335260113
subsample,2,4,True,hard,346,ID3,0.8,4,0.3439306358381503
subsample,2,4,True,hard,346,ID3,1.0,0,0.3815028901734104
subsample,2,4,True,hard,346,ID3,1.0,1,0.2861271676300578
subsample,2,4,True,hard,346,ID3,1.0,2,0.38439306358381503
subsample,2,4,True,hard,346,ID3,1.0,3,0.49421965317919075
subsample,2,4,True,hard,346,ID3,1.0,4,0.2947976878612717
subsample,2,4,True,hard,346,ID3,2.0,0,0.6011560693641619
subsample,2,4,True,hard,346,ID3,2.0,1,0.5895953757225434
subsample,2,4,True,hard,346,ID3,2.0,2,0.6184971098265896
subsample,2,4,True,hard,346,ID3,2.0,3,0.41040462427745666
subsample,2,4,True,hard,346,ID3,2.0,4,0.5433526011560693
subsample,2,4,False,hard,346,ID3,0.4,0,0.22254335260115607
subsample,2,4,False,hard,346,ID3,0.4,1,0.24566473988439305
subsample,2,4,False,hard,346,ID3,0.4,2,0.24277456647398843
subsample,2,4,False,hard,346,ID3,0.4,3,0.23699421965317918
subsample,2,4,False,hard,346,ID3,0.4,4,0.22832369942196531
subsample,2,4,False,hard,346,ID3,0.6,0,0.2861271676300578
subsample,2,4,False,hard,346,ID3,0.6,1,0.2630057803468208
subsample,2,4,False,hard,346,ID3,0.6,2,0.23699421965317918
subsample,2,4,False,hard,346,ID3,0.6,3,0.2630057803468208
subsample,2,4,False,hard,346,ID3,0.6,4,0.2398843930635838
subsample,2,4,False,hard,346,ID3,0.8,0,0.23410404624277456
subsample,2,4,False,hard,346,ID3,0.8,1,0.2832369942196532
subsample,2,4,False,hard,346,ID3,0.8,2,0.2745664739884393
subsample,2,4,False,hard,346,ID3,0.8,3,0.2745664739884393
subsample,2,4,False,hard,346,ID3,0.8,4,0.30346820809248554
subsample,2,4,False,hard,346,ID3,1.0,0,0.30346820809248554
subsample,2,4,False,hard,346,ID3,1.0,1,0.25722543352601157
subsample,2,4,False,hard,346,ID3,1.0,2,0.2398843930635838
subsample,2,4,False,hard,346,ID3,1.0,3,0.28034682080924855
subsample,2,4,False,hard,346,ID3,1.0,4,0.21965317919075145
subsample,2,4,False,hard,346,ID3,2.0,0,0.24277456647398843
subsample,2,4,False,hard,346,ID3,2.0,1,0.24277456647398843
subsample,2,4,False,hard,346,ID3,2.0,2,0.2658959537572254
subsample,2,4,False,hard,346,ID3,2.0,3,0.24277456647398843
subsample,2,4,False,hard,346,ID3,2.0,4,0.26878612716763006
subsample,2,4,True,weight,346,ID3,0.4,0,0.7167630057803468
subsample,2,4,True,weight,346,ID3,0.4,1,0.7225433526011561
subsample,2,4,True,weight,346,ID3,0.4,2,0.7254335260115607
subsample,2,4,True,weight,346,ID3,0.4,3,0.7167630057803468
subsample,2,4,True,weight,346,ID3,0.4,4,0.7167630057803468
