method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
batch,2,34,True,weight,60,ID3,0.4,0,0.6
batch,2,34,True,weight,60,ID3,0.4,1,0.6166666666666667
batch,2,34,True,weight,60,ID3,0.4,2,0.7333333333333333
batch,2,34,True,weight,60,ID3,0.4,3,0.7666666666666667
batch,2,34,True,weight,60,ID3,0.4,4,0.48333333333333334
batch,2,34,True,weight,60,ID3,0.4,5,0.8333333333333334
batch,2,34,True,weight,60,ID3,0.4,6,0.75
batch,2,34,True,weight,60,ID3,0.4,7,0.6166666666666667
batch,2,34,True,weight,60,ID3,0.4,8,0.55
batch,2,34,True,weight,60,ID3,0.4,9,0.7
batch,2,34,True,weight,60,ID3,0.6,0,0.6166666666666667
batch,2,34,True,weight,60,ID3,0.6,1,0.8
batch,2,34,True,weight,60,ID3,0.6,2,0.5833333333333334
batch,2,34,True,weight,60,ID3,0.6,3,0.6666666666666666
batch,2,34,True,weight,60,ID3,0.6,4,0.85
batch,2,34,True,weight,60,ID3,0.6,5,0.5833333333333334
batch,2,34,True,weight,60,ID3,0.6,6,0.7833333333333333
batch,2,34,True,weight,60,ID3,0.6,7,0.6
batch,2,34,True,weight,60,ID3,0.6,8,0.75
batch,2,34,True,weight,60,ID3,0.6,9,0.75
batch,2,34,True,weight,60,ID3,0.8,0,0.8333333333333334
batch,2,34,True,weight,60,ID3,0.8,1,0.7833333333333333
batch,2,34,True,weight,60,ID3,0.8,2,0.7166666666666667
batch,2,34,True,weight,60,ID3,0.8,3,0.8666666666666667
batch,2,34,True,weight,60,ID3,0.8,4,0.8333333333333334
batch,2,34,True,weight,60,ID3,0.8,5,0.6333333333333333
batch,2,34,True,weight,60,ID3,0.8,6,0.7166666666666667
batch,2,34,True,weight,60,ID3,0.8,7,0.7666666666666667
batch,2,34,True,weight,60,ID3,0.8,8,0.6666666666666666
batch,2,34,True,weight,60,ID3,0.8,9,0.65
batch,2,34,True,weight,60,ID3,1.0,0,0.6666666666666666
batch,2,34,True,weight,60,ID3,1.0,1,0.8333333333333334
batch,2,34,True,weight,60,ID3,1.0,2,0.8166666666666667
batch,2,34,True,weight,60,ID3,1.0,3,0.7666666666666667
batch,2,34,True,weight,60,ID3,1.0,4,0.5
batch,2,34,True,weight,60,ID3,1.0,5,0.7166666666666667
batch,2,34,True,weight,60,ID3,1.0,6,0.8166666666666667
batch,2,34,True,weight,60,ID3,1.0,7,0.8
batch,2,34,True,weight,60,ID3,1.0,8,0.7833333333333333
batch,2,34,True,weight,60,ID3,1.0,9,0.7166666666666667
batch,2,34,True,weight,60,ID3,2.0,0,0.8333333333333334
batch,2,34,True,weight,60,ID3,2.0,1,0.8166666666666667
batch,2,34,True,weight,60,ID3,2.0,2,0.8166666666666667
batch,2,34,True,weight,60,ID3,2.0,3,0.8666666666666667
batch,2,34,True,weight,60,ID3,2.0,4,0.8333333333333334
batch,2,34,True,weight,60,ID3,2.0,5,0.8333333333333334
batch,2,34,True,weight,60,ID3,2.0,6,0.8333333333333334
batch,2,34,True,weight,60,ID3,2.0,7,0.8666666666666667
batch,2,34,True,weight,60,ID3,2.0,8,0.8333333333333334
batch,2,34,True,weight,60,ID3,2.0,9,0.8
optimize,2,34,True,hard,60,ID3,0.4,0,0.7166666666666667
optimize,2,34,True,hard,60,ID3,0.4,1,0.65
optimize,2,34,True,hard,60,ID3,0.4,2,0.6833333333333333
optimize,2,34,True,hard,60,ID3,0.4,3,0.6666666666666666
optimize,2,34,True,hard,60,ID3,0.4,4,0.6666666666666666
optimize,2,34,True,hard,60,ID3,0.4,5,0.65
optimize,2,34,True,hard,60,ID3,0.4,6,0.55
optimize,2,34,True,hard,60,ID3,0.4,7,0.6833333333333333
optimize,2,34,True,hard,60,ID3,0.4,8,0.5666666666666667
optimize,2,34,True,hard,60,ID3,0.4,9,0.5666666666666667
optimize,2,34,True,hard,60,ID3,0.6,0,0.8166666666666667
optimize,2,34,True,hard,60,ID3,0.6,1,0.8166666666666667
optimize,2,34,True,hard,60,ID3,0.6,2,0.6666666666666666
optimize,2,34,True,hard,60,ID3,0.6,3,0.6333333333333333
optimize,2,34,True,hard,60,ID3,0.6,4,0.6666666666666666
optimize,2,34,True,hard,60,ID3,0.6,5,0.7833333333333333
optimize,2,34,True,hard,60,ID3,0.6,6,0.7333333333333333
optimize,2,34,True,hard,60,ID3,0.6,7,0.8333333333333334
optimize,2,34,True,hard,60,ID3,0.6,8,0.7166666666666667
optimize,2,34,True,hard,60,ID3,0.6,9,0.48333333333333334
optimize,2,34,True,hard,60,ID3,0.8,0,0.8833333333333333
optimize,2,34,True,hard,60,ID3,0.8,1,0.5833333333333334
optimize,2,34,True,hard,60,ID3,0.8,2,0.7833333333333333
optimize,2,34,True,hard,60,ID3,0.8,3,0.8833333333333333
optimize,2,34,True,hard,60,ID3,0.8,4,0.8666666666666667
optimize,2,34,True,hard,60,ID3,0.8,5,0.85
optimize,2,34,True,hard,60,ID3,0.8,6,0.7833333333333333
optimize,2,34,True,hard,60,ID3,0.8,7,0.7166666666666667
optimize,2,34,True,hard,60,ID3,0.8,8,0.7666666666666667
optimize,2,34,True,hard,60,ID3,0.8,9,0.5
optimize,2,34,True,hard,60,ID3,1.0,0,0.75
optimize,2,34,True,hard,60,ID3,1.0,1,0.7166666666666667
optimize,2,34,True,hard,60,ID3,1.0,2,0.8666666666666667
optimize,2,34,True,hard,60,ID3,1.0,3,0.7666666666666667
optimize,2,34,True,hard,60,ID3,1.0,4,0.7833333333333333
optimize,2,34,True,hard,60,ID3,1.0,5,0.65
optimize,2,34,True,hard,60,ID3,1.0,6,0.7333333333333333
optimize,2,34,True,hard,60,ID3,1.0,7,0.85
optimize,2,34,True,hard,60,ID3,1.0,8,0.6833333333333333
optimize,2,34,True,hard,60,ID3,1.0,9,0.7666666666666667
optimize,2,34,True,hard,60,ID3,2.0,0,0.85
optimize,2,34,True,hard,60,ID3,2.0,1,0.8166666666666667
optimize,2,34,True,hard,60,ID3,2.0,2,0.8333333333333334
optimize,2,34,True,hard,60,ID3,2.0,3,0.7166666666666667
optimize,2,34,True,hard,60,ID3,2.0,4,0.8166666666666667
optimize,2,34,True,hard,60,ID3,2.0,5,0.7333333333333333
optimize,2,34,True,hard,60,ID3,2.0,6,0.8833333333333333
optimize,2,34,True,hard,60,ID3,2.0,7,0.8333333333333334
optimize,2,34,True,hard,60,ID3,2.0,8,0.7666666666666667
optimize,2,34,True,hard,60,ID3,2.0,9,0.8166666666666667
original,2,102,False,hard,60,ID3,0.4,0,0.6333333333333333
original,2,102,False,hard,60,ID3,0.4,1,0.6166666666666667
original,2,102,False,hard,60,ID3,0.4,2,0.55
original,2,102,False,hard,60,ID3,0.4,3,0.5
original,2,102,False,hard,60,ID3,0.4,4,0.43333333333333335
original,2,102,False,hard,60,ID3,0.4,5,0.5333333333333333
original,2,102,False,hard,60,ID3,0.4,6,0.6
original,2,102,False,hard,60,ID3,0.4,7,0.7
original,2,102,False,hard,60,ID3,0.4,8,0.5
original,2,102,False,hard,60,ID3,0.4,9,0.5
original,2,102,False,hard,60,ID3,0.6,0,0.55
original,2,102,False,hard,60,ID3,0.6,1,0.5333333333333333
original,2,102,False,hard,60,ID3,0.6,2,0.75
original,2,102,False,hard,60,ID3,0.6,3,0.65
original,2,102,False,hard,60,ID3,0.6,4,0.6166666666666667
original,2,102,False,hard,60,ID3,0.6,5,0.3
original,2,102,False,hard,60,ID3,0.6,6,0.75
original,2,102,False,hard,60,ID3,0.6,7,0.85
original,2,102,False,hard,60,ID3,0.6,8,0.6333333333333333
original,2,102,False,hard,60,ID3,0.6,9,0.6833333333333333
original,2,102,False,hard,60,ID3,0.8,0,0.6
original,2,102,False,hard,60,ID3,0.8,1,0.6666666666666666
original,2,102,False,hard,60,ID3,0.8,2,0.65
original,2,102,False,hard,60,ID3,0.8,3,0.75
original,2,102,False,hard,60,ID3,0.8,4,0.6166666666666667
