method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
batch,3,25,True,weight,1625,ID3,0.01,0,0.7944615384615384
batch,3,25,True,weight,1625,ID3,0.01,1,0.827076923076923
batch,3,25,True,weight,1625,ID3,0.01,2,0.7144615384615385
batch,3,25,True,weight,1625,ID3,0.01,3,0.6276923076923077
batch,3,25,True,weight,1625,ID3,0.01,4,0.7538461538461538
batch,3,25,True,weight,1625,ID3,0.03,0,0.8578461538461538
batch,3,25,True,weight,1625,ID3,0.03,1,0.9113846153846153
batch,3,25,True,weight,1625,ID3,0.03,2,0.8596923076923076
batch,3,25,True,weight,1625,ID3,0.03,3,0.8492307692307692
batch,3,25,True,weight,1625,ID3,0.03,4,0.8504615384615385
batch,3,25,True,weight,1625,ID3,0.05,0,0.8701538461538462
batch,3,25,True,weight,1625,ID3,0.05,1,0.9033846153846153
batch,3,25,True,weight,1625,ID3,0.05,2,0.8836923076923077
batch,3,25,True,weight,1625,ID3,0.05,3,0.8824615384615384
batch,3,25,True,weight,1625,ID3,0.05,4,0.9021538461538462
batch,3,25,True,weight,1625,ID3,0.1,0,0.9323076923076923
batch,3,25,True,weight,1625,ID3,0.1,1,0.9224615384615384
batch,3,25,True,weight,1625,ID3,0.1,2,0.9212307692307692
batch,3,25,True,weight,1625,ID3,0.1,3,0.9132307692307692
batch,3,25,True,weight,1625,ID3,0.1,4,0.9255384615384615
batch,3,25,True,weight,1625,ID3,0.2,0,0.9255384615384615
batch,3,25,True,weight,1625,ID3,0.2,1,0.9236923076923077
batch,3,25,True,weight,1625,ID3,0.2,2,0.9323076923076923
batch,3,25,True,weight,1625,ID3,0.2,3,0.9298461538461539
batch,3,25,True,weight,1625,ID3,0.2,4,0.9267692307692308
optimize,3,25,True,hard,1625,ID3,0.01,0,0.8504615384615385
optimize,3,25,True,hard,1625,ID3,0.01,1,0.8363076923076923
optimize,3,25,True,hard,1625,ID3,0.01,2,0.7938461538461539
optimize,3,25,True,hard,1625,ID3,0.01,3,0.7673846153846153
optimize,3,25,True,hard,1625,ID3,0.01,4,0.796923076923077
optimize,3,25,True,hard,1625,ID3,0.03,0,0.8830769230769231
optimize,3,25,True,hard,1625,ID3,0.03,1,0.9015384615384615
optimize,3,25,True,hard,1625,ID3,0.03,2,0.8756923076923077
optimize,3,25,True,hard,1625,ID3,0.03,3,0.8566153846153847
optimize,3,25,True,hard,1625,ID3,0.03,4,0.8886153846153846
optimize,3,25,True,hard,1625,ID3,0.05,0,0.9255384615384615
optimize,3,25,True,hard,1625,ID3,0.05,1,0.9206153846153846
optimize,3,25,True,hard,1625,ID3,0.05,2,0.9415384615384615
optimize,3,25,True,hard,1625,ID3,0.05,3,0.9206153846153846
optimize,3,25,True,hard,1625,ID3,0.05,4,0.9224615384615384
optimize,3,25,True,hard,1625,ID3,0.1,0,0.9267692307692308
optimize,3,25,True,hard,1625,ID3,0.1,1,0.9384615384615385
optimize,3,25,True,hard,1625,ID3,0.1,2,0.9144615384615384
optimize,3,25,True,hard,1625,ID3,0.1,3,0.9396923076923077
optimize,3,25,True,hard,1625,ID3,0.1,4,0.9187692307692308
optimize,3,25,True,hard,1625,ID3,0.2,0,0.9729230769230769
optimize,3,25,True,hard,1625,ID3,0.2,1,0.9513846153846154
optimize,3,25,True,hard,1625,ID3,0.2,2,0.9230769230769231
optimize,3,25,True,hard,1625,ID3,0.2,3,0.9593846153846154
optimize,3,25,True,hard,1625,ID3,0.2,4,0.9501538461538461
original,3,125,False,hard,1625,ID3,0.01,0,0.6670769230769231
original,3,125,False,hard,1625,ID3,0.01,1,0.6344615384615384
original,3,125,False,hard,1625,ID3,0.01,2,0.6683076923076923
original,3,125,False,hard,1625,ID3,0.01,3,0.768
original,3,125,False,hard,1625,ID3,0.01,4,0.5704615384615385
original,3,125,False,hard,1625,ID3,0.03,0,0.7735384615384615
original,3,125,False,hard,1625,ID3,0.03,1,0.4867692307692308
original,3,125,False,hard,1625,ID3,0.03,2,0.6369230769230769
original,3,125,False,hard,1625,ID3,0.03,3,0.8086153846153846
original,3,125,False,hard,1625,ID3,0.03,4,0.6455384615384615
original,3,125,False,hard,1625,ID3,0.05,0,0.8153846153846154
original,3,125,False,hard,1625,ID3,0.05,1,0.7224615384615385
original,3,125,False,hard,1625,ID3,0.05,2,0.784
original,3,125,False,hard,1625,ID3,0.05,3,0.7495384615384615
original,3,125,False,hard,1625,ID3,0.05,4,0.7692307692307693
original,3,125,False,hard,1625,ID3,0.1,0,0.8627692307692307
original,3,125,False,hard,1625,ID3,0.1,1,0.8547692307692307
original,3,125,False,hard,1625,ID3,0.1,2,0.8676923076923077
original,3,125,False,hard,1625,ID3,0.1,3,0.8941538461538462
original,3,125,False,hard,1625,ID3,0.1,4,0.8553846153846154
original,3,125,False,hard,1625,ID3,0.2,0,0.8904615384615384
original,3,125,False,hard,1625,ID3,0.2,1,0.88
original,3,125,False,hard,1625,ID3,0.2,2,0.8923076923076924
original,3,125,False,hard,1625,ID3,0.2,3,0.8750769230769231
original,3,125,False,hard,1625,ID3,0.2,4,0.888
